,Predicted Value,Real Value,Forecasting Error,Initial Predicted Value
20227,0.5997440218925476,0.5957478802486879,-0.003996141643859752,0.5927033424377441
20228,0.6359525322914124,0.6137628348574892,-0.022189697433923183,0.6536442041397095
20229,0.6099404096603394,0.6460350234818448,0.03609461382150547,0.6421525478363037
20230,0.6282395124435425,0.6710128133075447,0.04277330086400222,0.6286298036575317
20231,0.6670551896095276,0.6414668141331917,-0.025588375476335856,0.6580668687820435
20232,0.6503379344940186,0.5784697335993467,-0.07186820089467183,0.6928090453147888
20233,0.5861279964447021,0.5534551033756738,-0.03267289306902832,0.6544609665870667
20234,0.5810779929161072,0.5744172898223158,-0.006660703093791409,0.5972330570220947
20235,0.6104071736335754,0.6123997401324878,0.0019925664989123293,0.5974631309509277
20236,0.6441985368728638,0.6517821255656342,0.007583588692770427,0.6314295530319214
20237,0.6754217147827148,0.7066374781474443,0.03121576336472942,0.6763465404510498
20238,0.7390918135643005,0.7443620456718051,0.005270232107504547,0.7235227227210999
20239,0.7737537026405334,0.7829707827475183,0.009217080106984854,0.7749022841453552
20240,0.7567066550254822,0.7896020543826598,0.03289539935717767,0.7638331651687622
20241,0.7474901080131531,0.7722133865393997,0.024723278526246673,0.7397991418838501
20242,0.6939808130264282,0.6956590395514876,0.0016782265250593342,0.6965338587760925
20243,0.6329115629196167,0.6238939443000666,-0.009017618619550083,0.6660075187683105
20244,0.6160032749176025,0.6050685009358591,-0.010934773981743473,0.641302227973938
20245,0.595950186252594,0.5947531895034166,-0.0011969967491773925,0.5982842445373535
20246,0.5807449221611023,0.5809380402635383,0.00019311810243605176,0.5824457406997681
20247,0.5912190079689026,0.5893744913993573,-0.001844516569545318,0.5940951108932495
20248,0.6169400215148926,0.6136891540615431,-0.0032508674533494597,0.6173258423805237
20249,0.6072535514831543,0.6161206203277617,0.008867068844607418,0.61249840259552
20250,0.5973846912384033,0.5502131483540491,-0.04717154288435421,0.6023193597793579
20251,0.53416907787323,0.5257142837019982,-0.008454794171231739,0.5842541456222534
20252,0.5536705255508423,0.5460501833830991,-0.00762034216774321,0.5697154402732849
20253,0.5553702712059021,0.5009206958661634,-0.05444957533973871,0.559482753276825
20254,0.5156463980674744,0.4601752157080157,-0.05547118235945869,0.5532428026199341
20255,0.47446224093437195,0.48445303797222844,0.009990797037856491,0.5109637975692749
20256,0.4009861648082733,0.46198039520869316,0.06099423040041985,0.38991695642471313
20257,0.4873676598072052,0.43324488478974627,-0.054122775017458935,0.44916078448295593
20258,0.4103585481643677,0.4045093743707995,-0.0058491737935681964,0.4563863277435303
20259,0.4011208415031433,0.3944151053261951,-0.006705736176948196,0.4136061668395996
20260,0.3724401593208313,0.4082670949640464,0.035826935643215096,0.3813501000404358
20261,0.39288872480392456,0.35875360008832263,-0.03413512471560193,0.3668716847896576
20262,0.32366111874580383,0.3003247289031308,-0.023336389842673055,0.362792432308197
20263,0.2720053791999817,0.351938126463316,0.07993274726333433,0.30470114946365356
20264,0.3250935673713684,0.3597114504356209,0.03461788306425251,0.26584964990615845
20265,0.3645605444908142,0.3022035891997542,-0.06235695529106,0.34972915053367615
20266,0.260347455739975,0.2721418244537791,0.011794368713804126,0.3476203680038452
20267,0.216910719871521,0.2690472310240464,0.05213651115252538,0.24157381057739258
20268,0.2872806191444397,0.27339439798486137,-0.013886221159578327,0.25417017936706543
20269,0.3210839629173279,0.2827518590700056,-0.038332103847322274,0.32623377442359924
20270,0.2638087272644043,0.29247772413487994,0.028668996870475638,0.301373690366745
20271,0.25489360094070435,0.3157976960517944,0.06090409511109007,0.25154727697372437
20272,0.33755481243133545,0.3621797570998124,0.024624944668476978,0.28373900055885315
20273,0.40822523832321167,0.39843070870525304,-0.009794529617958625,0.3904534876346588
20274,0.449867844581604,0.39714129477619775,-0.05272654980540625,0.4818461239337921
20275,0.44833338260650635,0.4598068117282856,0.011473429121779233,0.5113280415534973
20276,0.5448647737503052,0.5420714204020142,-0.0027933533482910056,0.5203519463539124
20277,0.6192658543586731,0.600537131985179,-0.0187287223734941,0.5908547639846802
20278,0.6086989641189575,0.6053632241196432,-0.0033357399993143577,0.6238980293273926
20279,0.6451884508132935,0.5913270324919269,-0.053861418321366594,0.6514697670936584
20280,0.5567711591720581,0.5965952094020671,0.03982405023000901,0.5817089080810547
20281,0.6031444668769836,0.5916585960736839,-0.01148587080329977,0.5683171153068542
20282,0.5824681520462036,0.5596442902351393,-0.022823861811064328,0.5865119695663452
20283,0.5475942492485046,0.5433239939330964,-0.004270255315408256,0.5680582523345947
20284,0.5411539673805237,0.5326034381229509,-0.008550529257572825,0.532968282699585
20285,0.5147640109062195,0.5203724259959119,0.005608415089692453,0.504464864730835
20286,0.47988152503967285,0.4667328065472112,-0.01314871849246163,0.4701380729675293
20287,0.5049773454666138,0.491047469209397,-0.013929876257216756,0.5051783323287964
20288,0.5629992485046387,0.5325297573270049,-0.030469491177633756,0.5572055578231812
20289,0.5792274475097656,0.5683386241567694,-0.010888823352996235,0.5981242656707764
20290,0.6071348786354065,0.6181468422162771,0.011011963580870643,0.6128430962562561
20291,0.6703962087631226,0.6488348937277935,-0.0215613150353291,0.6412360668182373
20292,0.6815870404243469,0.6792650624534987,-0.0023219779708482102,0.683147668838501
20293,0.702514111995697,0.7116477722717733,0.009133660276076316,0.7022640705108643
20294,0.7341158390045166,0.7599823744123607,0.025866535407844116,0.7255967855453491
20295,0.771753191947937,0.7728028329069678,0.0010496409590308176,0.7524633407592773
20296,0.7759695649147034,0.7845917602583307,0.008622195343627292,0.7730538845062256
20297,0.7923373579978943,0.7977806227326678,0.005443264734773523,0.7906934022903442
20298,0.803342878818512,0.756814100186682,-0.046528778631829915,0.8068907856941223
20299,0.7874008417129517,0.7715502593758855,-0.015850582337066155,0.8271083235740662
20300,0.8059476017951965,0.8049276599394315,-0.0010199418557650386,0.8078563809394836
20301,0.8101493120193481,0.8129220262995743,0.002772714280226185,0.7955332398414612
20302,0.8371677398681641,0.8331105643887832,-0.004057175479380892,0.8320852518081665
20303,0.8163249492645264,0.8331842451847291,0.016859295920202744,0.8200010657310486
20304,0.8211431503295898,0.8062170738684867,-0.01492607646110311,0.8145959377288818
20305,0.7798270583152771,0.7894915331887409,0.00966447487346378,0.7977480888366699
20306,0.7545790672302246,0.769081952711694,0.014502885481469385,0.7590786218643188
