time-date stamp,Date,"ERCOT Load, MW","Total Wind Output, MW","Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",1-hr MW change,1-hr % change
01-01-2020 00:00:00,Jan-01,36823,12335,27040,33.5,45.617,,
01-01-2020 01:00:00,Jan-01,36511,13300,27040,36.4,49.187,965.4,7.826
01-01-2020 02:00:00,Jan-01,36022,13586,27040,37.7,50.245,286.2,2.152
01-01-2020 03:00:00,Jan-01,35790,14107,27040,39.4,52.171,520.9,3.834
01-01-2020 04:00:00,Jan-01,35642,14887,27040,41.8,55.055,779.6,5.527
01-01-2020 05:00:00,Jan-01,35954,14730,27040,41.0,54.474,-157.0,-1.055
01-01-2020 06:00:00,Jan-01,36566,14296,27040,39.1,52.869,-434.1,-2.947
01-01-2020 07:00:00,Jan-01,37027,14129,27040,38.2,52.251,-167.1,-1.169
01-01-2020 08:00:00,Jan-01,37409,14178,27040,37.9,52.431,48.8,0.345
01-01-2020 09:00:00,Jan-01,38253,14248,27040,37.2,52.692,70.6,0.498
01-01-2020 10:00:00,Jan-01,39323,14076,27040,35.8,52.057,-171.8,-1.205
01-01-2020 11:00:00,Jan-01,40105,14437,27040,36.0,53.391,360.6,2.562
01-01-2020 12:00:00,Jan-01,40163,13978,27040,34.8,51.693,-459.1,-3.18
01-01-2020 13:00:00,Jan-01,40023,14056,27040,35.1,51.981,77.8,0.557
01-01-2020 14:00:00,Jan-01,39530,13892,27040,35.1,51.377,-163.3,-1.162
01-01-2020 15:00:00,Jan-01,38943,14253,27040,36.6,52.711,360.8,2.597
01-01-2020 16:00:00,Jan-01,38814,14236,27040,36.7,52.646,-17.5,-0.123
01-01-2020 17:00:00,Jan-01,39499,14071,27040,35.6,52.036,-165.1,-1.16
01-01-2020 18:00:00,Jan-01,41559,15011,27040,36.1,55.513,940.2,6.682
01-01-2020 19:00:00,Jan-01,41442,16417,27040,39.6,60.715,1406.8,9.372
01-01-2020 20:00:00,Jan-01,40898,16936,27040,41.4,62.632,518.3,3.157
01-01-2020 21:00:00,Jan-01,39975,16049,27040,40.1,59.352,-886.8,-5.236
