Time (Hour-Ending),Date,ERCOT.LOAD,ERCOT.WIND.GEN,"Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",Wind 1-hr MW change,Wind 1-hr % change,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 01:00:00,Jan-01,35829,21753,36858,60.71,59.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 02:00:00,Jan-01,35245,21570,36858,61.20,58.52,-183,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 03:00:00,Jan-01,34600,21037,36858,60.80,57.07,-534,-2.48,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 04:00:00,Jan-01,34227,20595,36858,60.17,55.88,-441,-2.10,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 05:00:00,Jan-01,34093,20388,36858,59.80,55.31,-208,-1.01,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 06:00:00,Jan-01,34257,20058,36858,58.55,54.42,-330,-1.62,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 07:00:00,Jan-01,34747,19482,36858,56.07,52.86,-576,-2.87,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 08:00:00,Jan-01,35260,17943,36858,50.89,48.68,-1539,-7.90,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 09:00:00,Jan-01,35987,16438,36858,45.68,44.60,-1505,-8.39,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 10:00:00,Jan-01,36671,13977,36858,38.11,37.92,-2461,-14.97,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 11:00:00,Jan-01,36898,10277,36858,27.85,27.88,-3699,-26.47,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 12:00:00,Jan-01,37255,9406,36858,25.25,25.52,-871,-8.48,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 13:00:00,Jan-01,37761,9702,36858,25.69,26.32,296,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 14:00:00,Jan-01,38076,8286,36858,21.76,22.48,-1416,-14.60,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 15:00:00,Jan-01,38768,7609,36858,19.63,20.64,-677,-8.17,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 16:00:00,Jan-01,39558,8444,36858,21.35,22.91,835,10.98,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 17:00:00,Jan-01,39786,9373,36858,23.56,25.43,928,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 18:00:00,Jan-01,40468,10977,36858,27.13,29.78,1605,17.12,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 19:00:00,Jan-01,41844,16129,36858,38.55,43.76,5152,46.93,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 20:00:00,Jan-01,41404,20219,36858,48.83,54.86,4089,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 21:00:00,Jan-01,40940,21557,36858,52.65,58.49,1338,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 22:00:00,Jan-01,40172,22516,36858,56.05,61.09,959,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2023 23:00:00,Jan-01,39040,23885,36858,61.18,64.80,1370,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 00:00:00,Jan-02,37531,23566,36858,62.79,63.94,-320,-1.34,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 01:00:00,Jan-02,36028,22605,36858,62.74,61.33,-961,-4.08,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 02:00:00,Jan-02,35036,21872,36858,62.43,59.34,-732,-3.24,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 03:00:00,Jan-02,34350,21431,36858,62.39,58.15,-441,-2.02,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 04:00:00,Jan-02,34015,20827,36858,61.23,56.51,-604,-2.82,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 05:00:00,Jan-02,34222,20714,36858,60.53,56.20,-113,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 06:00:00,Jan-02,34955,20830,36858,59.59,56.51,115,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 07:00:00,Jan-02,36168,21969,36858,60.74,59.61,1139,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 08:00:00,Jan-02,37252,21988,36858,59.02,59.66,19,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 09:00:00,Jan-02,38186,19706,36858,51.61,53.47,-2282,-10.38,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 10:00:00,Jan-02,40013,17479,36858,43.68,47.42,-2227,-11.30,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 11:00:00,Jan-02,41299,16430,36858,39.78,44.58,-1049,-6.00,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 12:00:00,Jan-02,42604,17079,36858,40.09,46.34,649,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 13:00:00,Jan-02,43381,19274,36858,44.43,52.29,2195,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 14:00:00,Jan-02,43915,19429,36858,44.24,52.71,155,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 15:00:00,Jan-02,44220,19861,36858,44.91,53.89,432,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 16:00:00,Jan-02,44682,20619,36858,46.15,55.94,758,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 17:00:00,Jan-02,44971,21884,36858,48.66,59.37,1265,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 18:00:00,Jan-02,45929,23256,36858,50.63,63.10,1372,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 19:00:00,Jan-02,46499,21955,36858,47.22,59.57,-1301,-5.59,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 20:00:00,Jan-02,45773,20822,36858,45.49,56.49,-1133,-5.16,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 21:00:00,Jan-02,44636,20368,36858,45.63,55.26,-454,-2.18,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 22:00:00,Jan-02,43394,20157,36858,46.45,54.69,-211,-1.03,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2023 23:00:00,Jan-02,41402,20956,36858,50.62,56.86,799,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 00:00:00,Jan-03,39014,21662,36858,55.52,58.77,706,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 01:00:00,Jan-03,37048,21708,36858,58.59,58.90,46,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 02:00:00,Jan-03,35547,21121,36858,59.42,57.30,-586,-2.70,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 03:00:00,Jan-03,34754,20452,36858,58.85,55.49,-670,-3.17,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 04:00:00,Jan-03,34467,20100,36858,58.32,54.53,-351,-1.72,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 05:00:00,Jan-03,34741,19495,36858,56.12,52.89,-605,-3.01,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 06:00:00,Jan-03,36181,18923,36858,52.30,51.34,-573,-2.94,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 07:00:00,Jan-03,38485,17233,36858,44.78,46.76,-1690,-8.93,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 08:00:00,Jan-03,40016,15849,36858,39.61,43.00,-1384,-8.03,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 09:00:00,Jan-03,40472,15186,36858,37.52,41.20,-663,-4.19,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 10:00:00,Jan-03,40753,12099,36858,29.69,32.83,-3086,-20.32,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 11:00:00,Jan-03,41283,11595,36858,28.09,31.46,-504,-4.17,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 12:00:00,Jan-03,41888,11883,36858,28.37,32.24,288,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 13:00:00,Jan-03,42313,10911,36858,25.79,29.60,-972,-8.18,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 14:00:00,Jan-03,42802,10766,36858,25.15,29.21,-145,-1.33,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 15:00:00,Jan-03,43071,10837,36858,25.16,29.40,71,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 16:00:00,Jan-03,43316,10489,36858,24.21,28.46,-348,-3.21,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 17:00:00,Jan-03,43479,10910,36858,25.09,29.60,421,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 18:00:00,Jan-03,43445,9981,36858,22.97,27.08,-929,-8.51,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 19:00:00,Jan-03,44398,9892,36858,22.28,26.84,-89,-0.89,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 20:00:00,Jan-03,44019,11207,36858,25.46,30.41,1314,13.29,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 21:00:00,Jan-03,42968,11977,36858,27.87,32.50,771,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 22:00:00,Jan-03,41477,12493,36858,30.12,33.90,516,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2023 23:00:00,Jan-03,39401,11958,36858,30.35,32.44,-536,-4.29,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 00:00:00,Jan-04,37372,11705,36858,31.32,31.76,-253,-2.12,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 01:00:00,Jan-04,36035,12138,36858,33.68,32.93,434,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 02:00:00,Jan-04,35340,13179,36858,37.29,35.76,1041,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 03:00:00,Jan-04,35186,13718,36858,38.99,37.22,540,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 04:00:00,Jan-04,35412,13550,36858,38.26,36.76,-169,-1.23,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 05:00:00,Jan-04,36288,12950,36858,35.69,35.13,-600,-4.43,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 06:00:00,Jan-04,38667,13132,36858,33.96,35.63,182,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 07:00:00,Jan-04,42019,12631,36858,30.06,34.27,-501,-3.82,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 08:00:00,Jan-04,44091,13041,36858,29.58,35.38,410,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 09:00:00,Jan-04,44249,13703,36858,30.97,37.18,663,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 10:00:00,Jan-04,43586,12223,36858,28.04,33.16,-1481,-10.81,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 11:00:00,Jan-04,42866,13023,36858,30.38,35.33,800,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 12:00:00,Jan-04,42278,13747,36858,32.52,37.30,724,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 13:00:00,Jan-04,41833,13167,36858,31.47,35.72,-580,-4.22,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 14:00:00,Jan-04,41864,12782,36858,30.53,34.68,-385,-2.92,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 15:00:00,Jan-04,41642,13173,36858,31.64,35.74,392,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 16:00:00,Jan-04,41956,12966,36858,30.90,35.18,-207,-1.57,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 17:00:00,Jan-04,42328,11852,36858,28.00,32.15,-1115,-8.60,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 18:00:00,Jan-04,42881,8255,36858,19.25,22.40,-3596,-30.35,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 19:00:00,Jan-04,43986,6632,36858,15.08,17.99,-1623,-19.66,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 20:00:00,Jan-04,43950,8014,36858,18.23,21.74,1382,20.84,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 21:00:00,Jan-04,43668,9005,36858,20.62,24.43,991,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 22:00:00,Jan-04,42948,8571,36858,19.96,23.25,-435,-4.83,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2023 23:00:00,Jan-04,41217,7881,36858,19.12,21.38,-689,-8.04,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 00:00:00,Jan-05,39685,8100,36858,20.41,21.98,219,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 01:00:00,Jan-05,38364,7687,36858,20.04,20.85,-414,-5.11,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 02:00:00,Jan-05,38110,6525,36858,17.12,17.70,-1162,-15.12,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 03:00:00,Jan-05,37840,5043,36858,13.33,13.68,-1482,-22.71,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 04:00:00,Jan-05,37971,4549,36858,11.98,12.34,-494,-9.80,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 05:00:00,Jan-05,39126,4122,36858,10.53,11.18,-427,-9.39,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 06:00:00,Jan-05,41682,4029,36858,9.67,10.93,-93,-2.26,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 07:00:00,Jan-05,45569,3328,36858,7.30,9.03,-701,-17.39,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 08:00:00,Jan-05,47485,2390,36858,5.03,6.48,-938,-28.18,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 09:00:00,Jan-05,46803,1784,36858,3.81,4.84,-606,-25.37,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 10:00:00,Jan-05,45326,895,36858,1.98,2.43,-888,-49.80,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 11:00:00,Jan-05,44051,669,36858,1.52,1.82,-226,-25.25,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 12:00:00,Jan-05,42785,1085,36858,2.54,2.94,416,62.09,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 13:00:00,Jan-05,41908,1358,36858,3.24,3.68,273,25.19,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 14:00:00,Jan-05,41383,1582,36858,3.82,4.29,224,16.50,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 15:00:00,Jan-05,41131,2097,36858,5.10,5.69,515,32.56,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 16:00:00,Jan-05,41282,2783,36858,6.74,7.55,686,32.69,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 17:00:00,Jan-05,41596,3297,36858,7.93,8.94,514,18.45,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 18:00:00,Jan-05,42416,4299,36858,10.14,11.66,1002,30.40,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 19:00:00,Jan-05,43986,6941,36858,15.78,18.83,2642,61.46,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 20:00:00,Jan-05,43718,10895,36858,24.92,29.56,3954,56.96,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 21:00:00,Jan-05,43924,15679,36858,35.69,42.54,4784,43.91,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 22:00:00,Jan-05,43370,20702,36858,47.73,56.17,5023,32.04,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2023 23:00:00,Jan-05,41981,23187,36858,55.23,62.91,2485,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 00:00:00,Jan-06,40468,24066,36858,59.47,65.29,879,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 01:00:00,Jan-06,39239,23995,36858,61.15,65.10,-71,-0.30,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 02:00:00,Jan-06,38758,23977,36858,61.86,65.05,-18,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 03:00:00,Jan-06,38479,24096,36858,62.62,65.37,119,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 04:00:00,Jan-06,38797,24025,36858,61.92,65.18,-71,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 05:00:00,Jan-06,39773,24277,36858,61.04,65.87,252,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 06:00:00,Jan-06,41667,24379,36858,58.51,66.14,103,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 07:00:00,Jan-06,44944,24093,36858,53.61,65.37,-286,-1.17,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 08:00:00,Jan-06,46486,24807,36858,53.36,67.30,714,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 09:00:00,Jan-06,46084,24048,36858,52.18,65.24,-759,-3.06,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 10:00:00,Jan-06,45020,20592,36858,45.74,55.87,-3456,-14.37,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 11:00:00,Jan-06,44517,20563,36858,46.19,55.79,-29,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 12:00:00,Jan-06,44046,21071,36858,47.84,57.17,508,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 13:00:00,Jan-06,43449,21851,36858,50.29,59.28,780,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 14:00:00,Jan-06,43270,22567,36858,52.15,61.23,716,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 15:00:00,Jan-06,43177,22262,36858,51.56,60.40,-304,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 16:00:00,Jan-06,43307,21337,36858,49.27,57.89,-925,-4.16,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 17:00:00,Jan-06,43053,19755,36858,45.88,53.60,-1582,-7.42,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 18:00:00,Jan-06,42742,17874,36858,41.82,48.49,-1881,-9.52,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 19:00:00,Jan-06,43469,18585,36858,42.76,50.42,712,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 20:00:00,Jan-06,43161,19934,36858,46.18,54.08,1349,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 21:00:00,Jan-06,42248,21616,36858,51.17,58.65,1682,8.44,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 22:00:00,Jan-06,41146,22465,36858,54.60,60.95,848,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2023 23:00:00,Jan-06,39553,21612,36858,54.64,58.64,-853,-3.80,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 00:00:00,Jan-07,37614,20187,36858,53.67,54.77,-1425,-6.59,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 01:00:00,Jan-07,36013,17545,36858,48.72,47.60,-2641,-13.08,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 02:00:00,Jan-07,34833,16364,36858,46.98,44.40,-1181,-6.73,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 03:00:00,Jan-07,34004,15971,36858,46.97,43.33,-394,-2.41,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 04:00:00,Jan-07,33962,15520,36858,45.70,42.11,-451,-2.82,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 05:00:00,Jan-07,34002,15321,36858,45.06,41.57,-199,-1.28,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 06:00:00,Jan-07,34644,15433,36858,44.55,41.87,112,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 07:00:00,Jan-07,35734,15031,36858,42.06,40.78,-402,-2.60,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 08:00:00,Jan-07,36589,14497,36858,39.62,39.33,-534,-3.56,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 09:00:00,Jan-07,37942,12944,36858,34.12,35.12,-1553,-10.71,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 10:00:00,Jan-07,39857,10869,36858,27.27,29.49,-2075,-16.03,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 11:00:00,Jan-07,40694,9898,36858,24.32,26.86,-970,-8.93,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 12:00:00,Jan-07,41193,9453,36858,22.95,25.65,-446,-4.50,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 13:00:00,Jan-07,41501,8230,36858,19.83,22.33,-1222,-12.93,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 14:00:00,Jan-07,41465,7165,36858,17.28,19.44,-1065,-12.94,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 15:00:00,Jan-07,41540,6674,36858,16.07,18.11,-491,-6.86,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 16:00:00,Jan-07,41673,6526,36858,15.66,17.71,-148,-2.22,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 17:00:00,Jan-07,41774,6595,36858,15.79,17.89,69,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 18:00:00,Jan-07,42167,6584,36858,15.61,17.86,-12,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 19:00:00,Jan-07,43078,7145,36858,16.59,19.39,561,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 20:00:00,Jan-07,42568,6772,36858,15.91,18.37,-373,-5.22,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 21:00:00,Jan-07,41822,6436,36858,15.39,17.46,-336,-4.96,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 22:00:00,Jan-07,40896,6727,36858,16.45,18.25,291,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2023 23:00:00,Jan-07,39820,7322,36858,18.39,19.87,595,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 00:00:00,Jan-08,38490,6644,36858,17.26,18.03,-678,-9.26,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 01:00:00,Jan-08,37033,6011,36858,16.23,16.31,-633,-9.52,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 02:00:00,Jan-08,36018,5324,36858,14.78,14.45,-687,-11.43,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 03:00:00,Jan-08,35256,5232,36858,14.84,14.19,-92,-1.74,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 04:00:00,Jan-08,34958,6088,36858,17.42,16.52,856,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 05:00:00,Jan-08,35201,6703,36858,19.04,18.19,615,10.10,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 06:00:00,Jan-08,35817,7384,36858,20.62,20.03,681,10.16,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 07:00:00,Jan-08,36954,7055,36858,19.09,19.14,-328,-4.45,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 08:00:00,Jan-08,38391,6746,36858,17.57,18.30,-310,-4.39,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 09:00:00,Jan-08,39585,6087,36858,15.38,16.52,-658,-9.76,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 10:00:00,Jan-08,40226,4606,36858,11.45,12.50,-1481,-24.33,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 11:00:00,Jan-08,39813,2967,36858,7.45,8.05,-1639,-35.58,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 12:00:00,Jan-08,39300,2839,36858,7.22,7.70,-128,-4.32,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 13:00:00,Jan-08,38962,2845,36858,7.30,7.72,6,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 14:00:00,Jan-08,38745,2999,36858,7.74,8.14,153,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 15:00:00,Jan-08,38672,3229,36858,8.35,8.76,230,7.66,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 16:00:00,Jan-08,38938,4135,36858,10.62,11.22,906,28.07,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 17:00:00,Jan-08,39025,5052,36858,12.95,13.71,917,22.18,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 18:00:00,Jan-08,40148,5638,36858,14.04,15.30,586,11.61,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 19:00:00,Jan-08,41900,8854,36858,21.13,24.02,3215,57.02,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 20:00:00,Jan-08,42299,12694,36858,30.01,34.44,3840,43.38,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 21:00:00,Jan-08,42283,15300,36858,36.19,41.51,2606,20.53,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 22:00:00,Jan-08,41796,17596,36858,42.10,47.74,2295,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08-2023 23:00:00,Jan-08,40330,19224,36858,47.67,52.16,1629,9.26,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09-2023 00:00:00,Jan-09,38699,19170,36858,49.54,52.01,-54,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09-2023 01:00:00,Jan-09,37583,19491,36858,51.86,52.88,321,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09-2023 02:00:00,Jan-09,37169,19386,36858,52.16,52.60,-105,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09-2023 03:00:00,Jan-09,37139,19310,36858,51.99,52.39,-76,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09-2023 04:00:00,Jan-09,37708,19301,36858,51.19,52.37,-9,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09-2023 05:00:00,Jan-09,38966,18806,36858,48.26,51.02,-495,-2.56,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09-2023 06:00:00,Jan-09,41426,18607,36858,44.91,50.48,-200,-1.06,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09-2023 07:00:00,Jan-09,45267,18445,36858,40.75,50.04,-162,-0.87,,,,,,,,,,,,,,,,,,,,,,,,,,
