,Predicted Value,Real Value,Forecasting Error,Initial Predicted Value
27008,0.4998004138469696,0.4996045053526836,-0.00019590849428602342,0.5245826244354248
27009,0.508773148059845,0.4991213583490833,-0.009651789710761693,0.520488440990448
27010,0.5051696300506592,0.5006513238604843,-0.004518306190174903,0.5186543464660645
27011,0.5017220973968506,0.5023423383730854,0.0006202409762348093,0.5232083201408386
27012,0.5228801369667053,0.537370496134109,0.01449035916740371,0.5448793172836304
27013,0.5417693853378296,0.5389809861461101,-0.0027883991917194706,0.558408796787262
27014,0.5366716384887695,0.49823558884248265,-0.038436049646286885,0.5591207146644592
27015,0.5054470300674438,0.5244060515375003,0.01895902147005646,0.5400322675704956
27016,0.5022888779640198,0.5546832637631207,0.05239438579910094,0.5103282928466797
27017,0.5560874938964844,0.5287543745699033,-0.027333119326581112,0.549481213092804
27018,0.5397812128067017,0.4937262168088796,-0.046054995997822035,0.5730675458908081
27019,0.488023579120636,0.46562316609946075,-0.022400413021175236,0.536577045917511
27020,0.49754130840301514,0.48494904624347374,-0.0125922621595414,0.5360420346260071
27021,0.4807649552822113,0.5107168864354911,0.029951931153279765,0.5089129209518433
27022,0.48694130778312683,0.5165996244898896,0.029658316706762777,0.4922526478767395
27023,0.5195446610450745,0.4904796520989588,-0.02906500894611569,0.5320481061935425
27024,0.4917987883090973,0.5139392569315541,0.022140468622456777,0.5306229591369629
27025,0.521652340888977,0.5043458102817986,-0.01730653060717846,0.5341342091560364
27026,0.48888495564460754,0.5155516009063028,0.026666645261695265,0.5217161178588867
27027,0.51473069190979,0.5154709837075654,0.0007402917977753498,0.5287342667579651
27028,0.49824681878089905,0.5262736883383825,0.028026869557483458,0.5181879997253418
27029,0.5078104734420776,0.5488465039848659,0.04103603054278826,0.5191704630851746
27030,0.5268958806991577,0.5801259770949929,0.0532300963958352,0.5266782641410828
27031,0.5277808308601379,0.5753695623694839,0.04758873150934595,0.5264275670051575
27032,0.5463348627090454,0.5100696313921569,-0.036265231316888524,0.5590735077857971
27033,0.5056883692741394,0.4858038545721872,-0.019884514701952183,0.5551881194114685
27034,0.4744008779525757,0.53989799492501,0.06549711697243432,0.5140591859817505
27035,0.5432248115539551,0.5737572183947351,0.03053240684078007,0.5423941016197205
27036,0.5494869947433472,0.631156663895793,0.08166966915244578,0.5564339756965637
27037,0.5590733289718628,0.5914930021169721,0.032419673145109296,0.5587589740753174
27038,0.5372357964515686,0.6230143268233115,0.08577853037174288,0.567500650882721
27039,0.5208277702331543,0.5769819063442327,0.056154136111078445,0.5312036871910095
27040,0.47066426277160645,0.4034130774625227,-0.06725118530908375,0.5013641715049744
27041,0.36430782079696655,0.402929374270098,0.038621553473131454,0.4786248207092285
27042,0.5038795471191406,0.45847462420019475,-0.04540492291894588,0.5570443868637085
27043,0.5406031608581543,0.5432839172719824,0.0026807564138281448,0.5866842269897461
27044,0.6328744292259216,0.6272870383563958,-0.005587390869525866,0.6426455974578857
27045,0.6395716667175293,0.5919767053093967,-0.047594961408132574,0.6493678092956543
27046,0.5453985929489136,0.5777880783316072,0.032389485382693595,0.5862680673599243
27047,0.48049336671829224,0.539333674533848,0.058840307815555715,0.49903810024261475
27048,0.515673816204071,0.5513456371457266,0.03567182094165555,0.5341899991035461
27049,0.4704824984073639,0.5513456371457266,0.0808631387383627,0.5062124133110046
27050,0.48741909861564636,0.48177299463531514,-0.0056461039803312185,0.5091899633407593
27051,0.4449530243873596,0.44106130927290754,-0.0038917151144520767,0.49081897735595703
27052,0.43503397703170776,0.4342894645789625,-0.0007445124527452607,0.4899936318397522
27053,0.4182035028934479,0.42824317467365447,0.010039671780206594,0.47470879554748535
27054,0.41467347741127014,0.4358211913549739,0.02114771394370374,0.4744430184364319
27055,0.46878862380981445,0.4364661289448734,-0.03232249486494104,0.5132610201835632
27056,0.42258623242378235,0.37116619796754635,-0.051420034456236,0.47780293226242065
27057,0.4059138000011444,0.4770971971085436,0.07118339710739918,0.46611320972442627
27058,0.4782726764678955,0.5273217119219692,0.049049035454073686,0.5002952218055725
27059,0.5049789547920227,0.5511037855495142,0.04612483075749152,0.531491219997406
27060,0.5293343663215637,0.5265155399345948,-0.0028188263869689534,0.561902642250061
27061,0.49747204780578613,0.5507813167545645,0.05330926894877841,0.5388550758361816
27062,0.5479146242141724,0.5595685914169456,0.01165396720277323,0.5654455423355103
27063,0.5292598009109497,0.5534416843129001,0.024181883401950377,0.5577077269554138
27064,0.5379297137260437,0.5512650199469892,0.013335306220945475,0.5655497312545776
27065,0.5585301518440247,0.608664465448047,0.05013431360402232,0.5941859483718872
27066,0.6715075969696045,0.7402317337875504,0.06872413681794587,0.6815794706344604
27067,0.6925457119941711,0.7393449446014385,0.04679923260726737,0.6848138570785522
27068,0.6936564445495605,0.7411185229736622,0.04746207842410166,0.7257684469223022
27069,0.6693826913833618,0.6778340219647712,0.008451330581409344,0.7116357088088989
27070,0.597815752029419,0.623659264413211,0.02584351238379201,0.6469606161117554
27071,0.5398613810539246,0.6068908870758233,0.06702950602189872,0.5780304074287415
27072,0.5412112474441528,0.616887419719266,0.07567617227511314,0.5572852492332458
27073,0.5468431115150452,0.5290146730954555,-0.0178284384195897,0.5618859529495239
27074,0.5007341504096985,0.5195018436444374,0.018767693234738925,0.5572923421859741
27075,0.5124073028564453,0.496929027997954,-0.015478274858491292,0.5425412654876709
27076,0.4874837100505829,0.5156322181050403,0.028148508054457455,0.5241854786872864
27077,0.49371761083602905,0.5068449434426593,0.013127332606630238,0.5110616683959961
27078,0.4408167600631714,0.5279666495118688,0.08714988944869739,0.46635574102401733
27079,0.38420164585113525,0.4346925505726497,0.05049090472151446,0.4098680019378662
27080,0.3571295738220215,0.356655102194807,-0.0004744716272144789,0.4294514060020447
27081,0.44601625204086304,0.4875774329444109,0.04156118090354788,0.5380762219429016
27082,0.5052196383476257,0.5436870032656697,0.03846736491804392,0.5671570897102356
27083,0.48403453826904297,0.4832241042125891,-0.0008104340564538681,0.5349867343902588
27084,0.424435555934906,0.45331512348099856,0.028879567546092555,0.47497421503067017
27085,0.4616745114326477,0.43557933975876156,-0.02609517167388614,0.4854092597961426
27086,0.4616793394088745,0.43170971421936444,-0.029969625189510074,0.5003584623336792
27087,0.44476908445358276,0.46693943006762606,0.022170345614043296,0.5083386301994324
